,Month,month,Traffic -> User Conversion Rate,K-Factor (Users),Paid Traffic (Installs / Visitors),Marketing Spend / Month,MoM Retention (Users),MoM Retention (Subscribers),K-Factor (Subscribers),User -> Subscriber Conversion Rate,Organic / Social Visitors,Cost / New User,New Acquired Users (Paid),Viral Acquired Visitors,New Organic + Viral Visitors,(All Channels) New Users,(All Channels) Retained Users,(All Channels) (New + Retained) Users,(New) Subscribers,(Retained) Subscribers,(All) Total Current Subscribers,(All Channels) Cumulative New Users
0,0,0,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,1000,8.0,1250.0,0.0,250.0,1500.0,0.0,1500.0,150.0,0.0,150.0,1500.0
1,1,1,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,1500,8.0,1250.0,375.0,468.75,1718.75,300.0,1868.75,186.875,60.0,246.875,3218.75
2,2,2,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,2000,8.0,1250.0,467.1875,616.796875,1866.796875,373.75,2053.671875,205.3671875,74.75,280.1171875,5085.546875
3,3,3,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,2500,8.0,1250.0,513.41796875,753.3544921875,2003.3544921875,410.734375,2208.7216796875,220.87216796875,82.14687500000001,303.01904296875,7088.9013671875
4,4,4,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,3000,8.0,1250.0,552.180419921875,888.0451049804688,2138.0451049804688,441.74433593749995,2358.917272949219,235.8917272949219,88.3488671875,324.2405944824219,9226.946472167969
5,5,5,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,3500,8.0,1250.0,589.7293182373047,1022.4323295593261,2272.4323295593263,471.7834545898437,2508.324056854248,250.8324056854248,94.35669091796876,345.1890966033935,11499.378801727295
6,6,6,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,4000,8.0,1250.0,627.081014213562,1156.7702535533904,2406.7702535533904,501.6648113708495,2657.602659238815,265.7602659238815,100.33296227416992,366.0932281980514,13906.149055280684
7,7,7,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,4500,8.0,1250.0,664.4006648097038,1291.100166202426,2541.100166202426,531.5205318477629,2806.8604321263074,280.68604321263075,106.3041063695526,386.99014958218334,16447.24922148311
8,8,8,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,5000,8.0,1250.0,701.7151080315768,1425.4287770078943,2675.4287770078945,561.3720864252614,2956.114820220525,295.6114820220525,112.27441728505231,407.8858993071048,19122.677998491006
9,9,9,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,5500,8.0,1250.0,739.0287050551314,1559.7571762637829,2809.7571762637826,591.2229640441051,3105.3686582858354,310.5368658285836,118.244592808821,428.78145863740457,21932.435174754788
10,10,10,0.25,0.2,2.0,10000,0.3,0.4,0.5,0.1,6000,8.0,1250.0,776.3421645714589,1694.0855411428647,2944.0855411428647,621.073731657167,3254.622406971448,325.4622406971448,124.21474633143345,449.67698702857825,24876.520715897652
